length,width,diameter,area,perimeter,rectangularity,circularity,ellipticity,aspect ratio,form factor,narrow factor,perimeter ratio of diameter,perimeter Ratio of Physiological Length and Physiological Width,Texture,Species
380.0,305.0,413.7626647949219,70748.5,1269.207272648811,1.2459016393442623,0.5519020363926462,1.908372278751408,1.2459016393442623,0.5519020363926462,1.0888491178813733,3.067476552718655,1.8528573323340312,7.0,0.0
377.0,208.0,373.7089538574219,56552.0,1043.234627008438,1.8125,0.6529709272241684,1.8584685397212588,1.8125,0.6529709272241684,0.9912704346350713,2.791569793124237,1.7833070547152787,1.0,0.0
386.0,146.0,393.50921630859375,33447.0,975.3523749113084,2.643835616438356,0.4418185465614217,3.27636027466223,2.643835616438356,0.4418185465614217,1.0194539282606057,2.478601096210228,1.833369125773136,8.0,0.0
387.0,317.0,408.5972900390625,70679.0,1191.7686791419983,1.220820189274448,0.6253401668707448,1.6138812947320256,1.220820189274448,0.6253401668707448,1.0558069510053294,2.9167317263118986,1.6928532374176113,9.0,0.0
387.0,182.0,384.0711364746094,54103.0,1032.0386657714844,0.4702842377260982,0.6383212081932164,2.1421462866556404,2.1263736263736264,0.6383212081932164,0.9924318771953732,2.6871029029793068,1.8137762140096385,9.0,0.0
387.0,122.0,381.0023193359375,33641.0,911.3279894590378,0.3152454780361757,0.5090135497400945,3.343908666059712,3.172131147540984,0.5090135497400945,0.9845021171471252,2.391922419389529,1.7904282700570486,1.0,0.0
387.0,120.0,387.858154296875,29848.0,908.925967335701,0.3100775193798449,0.4540127799347803,3.922766006942637,3.225,0.4540127799347803,1.0022174529635013,2.3434494215635064,1.7927533872499033,9.0,0.0
387.0,172.0,390.2996520996094,50893.5,1023.3940051794052,0.4444444444444444,0.6106416818642051,2.2812866403799763,2.25,0.6106416818642051,1.008526232815528,2.622072552906664,1.83075850658212,1.0,0.0
387.0,203.0,377.8366088867188,52297.5,1038.1046814918518,0.524547803617571,0.6098295903091107,2.0778686525973784,1.9064039408866995,0.6098295903091107,0.9763219867873868,2.747496290924768,1.759499460155681,9.0,0.0
386.0,227.0,451.0882873535156,34889.0,1055.9453011751175,1.7004405286343611,0.3932018403182665,4.236213093066369,1.7004405286343611,0.3932018403182665,1.1686225060971906,2.340883881889796,1.722586135685347,1.0,0.0
387.0,317.0,482.8103332519531,41098.5,1153.8346936702728,1.220820189274448,0.3879257861725968,4.054112760498569,1.220820189274448,0.3879257861725968,1.2475719205476823,2.3898301552467967,1.638969735327092,1.0,0.0
387.0,215.0,381.3250427246094,58752.5,1029.9036713838575,0.5555555555555556,0.696054110581138,1.8114219337722035,1.8,0.696054110581138,0.9853360277121688,2.700855060619892,1.710803440836973,4.0,0.0
383.0,318.0,450.84283447265625,63270.0,1199.8519368171692,0.8302872062663186,0.5522711855097607,2.421732009079652,1.2044025157232705,0.5522711855097607,1.1771353380487108,2.661353015004923,1.7116290111514538,9.0,0.0
387.0,184.0,448.9490966796875,49498.0,1074.0386663675308,0.4754521963824289,0.5392096823951857,2.563667655387135,2.1032608695652173,0.5392096823951857,1.160075185218831,2.392339519804908,1.880978399943136,9.0,0.0
387.0,226.0,410.8229370117188,61537.0,1163.1513636112213,0.5839793281653747,0.5715756458687434,1.8986763909393505,1.7123893805309736,0.5715756458687434,1.061557976774467,2.831271720298427,1.897473676364145,3.0,0.0
233.0,187.0,272.5636901855469,26608.0,704.5828226804733,1.2459893048128343,0.6735316269300818,2.1466432226598005,1.2459893048128343,0.6735316269300818,1.1698012454315316,2.585020852193595,1.677578149239222,7.0,0.0
218.0,213.0,270.6562805175781,26764.5,707.1097350120544,0.9770642201834864,0.6726596327481887,2.1494125364200487,1.0234741784037558,0.6726596327481887,1.241542571181551,2.6125746413859043,1.64062583529479,9.0,0.0
245.0,188.0,270.29840087890625,26794.0,709.0092277526855,0.7673469387755102,0.6697976846403108,2.1584887204927545,1.303191489361702,0.6697976846403108,1.1032587790975763,2.6230611259528755,1.6374347061262946,7.0,0.0
266.0,163.0,272.9763488769531,26790.0,706.5239470005035,0.6127819548872181,0.674417459217335,2.171609126474648,1.6319018404907977,0.674417459217335,1.0262268754772674,2.588224034452803,1.646908967367141,7.0,0.0
280.0,139.0,274.8812866210937,26770.5,703.3107442855835,0.4964285714285714,0.6800985401128802,2.183782040359778,2.014388489208633,0.6800985401128802,0.9817188807896206,2.558598124051465,1.6785459290825382,9.0,0.0
285.0,131.0,272.5482177734375,26731.5,703.8549011945724,0.4596491228070175,0.6780581104647231,2.1890089729293383,2.175572519083969,0.6780581104647231,0.9563095360471492,2.582496803481832,1.6919588971023376,9.0,0.0
282.0,134.0,272.8580322265625,26685.0,709.1269775629044,0.475177304964539,0.6668513823094674,2.185936067458872,2.1044776119402986,0.6668513823094674,0.9675816745622784,2.598886211178472,1.7046321576031356,9.0,0.0
271.0,143.0,273.68231201171875,26683.0,707.1269783973694,0.5276752767527675,0.6705786259569294,2.17476191992601,1.8951048951048952,0.6705786259569294,1.0098978303015451,2.5837511134701723,1.7080361797037908,6.0,0.0
253.0,163.0,274.2719116210937,26713.0,706.7838320732117,0.6442687747035574,0.6719845925557754,2.1619185235803347,1.5521472392638036,0.6719845925557754,1.0840787020596592,2.5769457320501434,1.6989995963298357,4.0,0.0
231.0,131.0,235.8647918701172,21238.5,627.1442233324051,1.763358778625954,0.678576557558983,2.0051981816729088,1.763358778625954,0.678576557558983,1.0210597050654424,2.658914110749316,1.7324426058906215,9.0,0.0
241.0,123.0,235.049545288086,21309.0,627.7300099134445,1.9593495934959348,0.6795589716171037,2.0108656396755937,1.9593495934959348,0.6795589716171037,0.9753093165480744,2.6706284802383857,1.7245329942677048,1.0,0.0
245.0,125.0,235.9252319335937,21339.0,634.3574267625809,1.96,0.666370664463277,2.014208006774292,1.96,0.666370664463277,0.962960130341199,2.6888070494347738,1.714479531790759,9.0,0.0
244.0,133.0,234.49009704589844,21380.0,630.9848427772522,1.8345864661654128,0.6748072050560049,2.0150830766038093,1.8345864661654128,0.6748072050560049,0.9610249878930264,2.690880556263939,1.673699848215523,9.0,0.0
237.0,141.0,238.9852752685547,21441.0,626.0975419282913,1.680851063829787,0.6873388680753473,2.006831455402247,1.680851063829787,0.6873388680753473,1.0083766888968553,2.619816393393808,1.656342703513998,1.0,0.0
224.0,156.0,235.9633636474609,21475.0,631.0681040287018,1.435897435897436,0.6776268032704501,1.9997210989877567,1.435897435897436,0.6776268032704501,1.053407873426165,2.674432565606005,1.6607055369176362,9.0,0.0
204.0,179.0,232.7692413330078,21454.0,633.8965328931808,1.1396648044692737,0.6709364516316233,1.9958248799908584,1.1396648044692737,0.6709364516316233,1.1410256928088618,2.723283064648161,1.655082331313788,9.0,0.0
199.0,179.0,233.8926544189453,21415.5,633.3696173429489,0.8994974874371859,0.6708472280794026,1.9933987271070184,1.111731843575419,0.6708472280794026,1.175339971954499,2.707950016285958,1.6755809982617695,9.0,0.0
217.0,154.0,237.347412109375,21335.5,629.4284936189651,0.7096774193548387,0.6767369517757253,1.99302808785242,1.4090909090909092,0.6767369517757253,1.0937668760800692,2.65192903526966,1.6965727590807689,1.0,0.0
231.0,97.0,240.688705444336,13000.5,558.5168064832687,2.381443298969072,0.5237179115966882,3.2184846094850603,2.381443298969072,0.5237179115966882,1.041942447810978,2.320494455492582,1.7027951417172826,2.0,0.0
237.0,78.0,244.2550811767578,12898.0,560.6761870384216,3.0384615384615383,0.5155941892812888,3.267695804895603,3.0384615384615383,0.5155941892812888,1.030612156863957,2.295453524803778,1.7799244032965766,9.0,0.0
235.0,82.0,238.1757049560547,12968.5,560.433546423912,2.865853658536585,0.5188614005756932,3.244297415611713,2.865853658536585,0.5188614005756932,1.013513638110871,2.3530256645081264,1.767929168529691,5.0,0.0
227.0,98.0,246.81591796875,13066.0,560.4751760959625,2.316326530612245,0.5226846591281908,3.212455853212148,2.316326530612245,0.5226846591281908,1.0872947928138768,2.2708226467262365,1.7245390033721923,9.0,0.0
213.0,125.0,254.8902587890625,13191.5,562.9432125091553,1.704,0.5230881377926788,3.1803354014527745,1.704,0.5230881377926788,1.196667881638791,2.208570916690173,1.665512463044838,9.0,0.0
195.0,154.0,253.7102966308593,13262.5,557.5117526054382,1.2662337662337662,0.5362004906416842,3.1504224061446844,1.2662337662337662,0.5362004906416842,1.3010784442608172,2.197434475497857,1.597454878525611,1.0,0.0
180.0,174.0,238.6152191162109,13304.0,554.03866314888,0.9666666666666668,0.5446430358863703,3.1391031739419097,1.0344827586206895,0.5446430358863703,1.3256401062011718,2.321891559142549,1.5650809693471186,9.0,0.0
203.0,151.0,239.2436981201172,13284.5,558.1391723155975,0.7438423645320197,0.5358831100025618,3.14897578591966,1.3443708609271523,0.5358831100025618,1.1785403848281637,2.332931553479717,1.5766643285751345,2.0,0.0
220.0,124.0,242.40708923339844,13171.0,559.8132696151733,0.5636363636363636,0.5281317007994915,3.170619056352099,1.7741935483870968,0.5281317007994915,1.1018504056063565,2.3093931426904954,1.627364155858062,9.0,0.0
233.0,194.0,248.1522827148437,24931.0,708.0386652946472,1.2010309278350515,0.6249361006675828,1.6277061976248162,1.2010309278350515,0.6249361006675828,1.065031256286883,2.853242603890399,1.6581701763340684,9.0,0.0
246.0,177.0,267.0423889160156,25014.5,702.4234417676926,1.3898305084745763,0.6370942670089431,1.627462618479673,1.3898305084745763,0.6370942670089431,1.0855381663252668,2.6303818079930505,1.6605755124531738,9.0,0.0
254.0,159.0,246.1643981933593,24985.5,704.2813053131104,1.5974842767295598,0.6330027370206193,1.6312860758603889,1.5974842767295598,0.6330027370206193,0.9691511739896038,2.861020157593648,1.705281610927628,9.0,0.0
255.0,161.0,241.12158203125,24938.0,708.582820892334,1.5838509316770186,0.6241518278868585,1.6306139679627372,1.5838509316770186,0.6241518278868585,0.945574831495098,2.9386951384571613,1.703324088683495,9.0,0.0
250.0,171.0,251.66455078125,24978.0,711.61225938797,1.4619883040935673,0.6198415465206982,1.6286042291991274,1.4619883040935673,0.6198415465206982,1.006658203125,2.8276221548839127,1.690290402346722,9.0,0.0
239.0,178.0,294.5285949707031,24999.0,707.8132702112198,1.3426966292134832,0.6270397880695681,1.6272415332156018,1.3426966292134832,0.6270397880695681,1.2323372174506406,2.403207302440791,1.6973939333602392,9.0,0.0
231.0,183.0,266.322509765625,25025.5,704.8843374252319,1.2622950819672132,0.6329317851928762,1.6243982998483435,1.2622950819672132,0.6329317851928762,1.1529112976866882,2.646732107044049,1.7026191725247148,9.0,0.0
223.0,193.0,243.7813873291016,25046.0,707.2691141366959,1.155440414507772,0.6291857149711081,1.624637672854656,1.155440414507772,0.6291857149711081,1.0931900777089756,2.90124328967696,1.7001661397516727,9.0,0.0
216.0,210.0,241.2261199951172,25049.5,710.9675981998444,0.9722222222222222,0.6227436509826131,1.6253700235246296,1.0285714285714285,0.6227436509826131,1.116787592569987,2.947307688795208,1.6689380239432967,9.0,0.0
231.0,117.0,226.576904296875,19281.5,596.3157956600189,0.5064935064935064,0.6813936059311013,2.054206864921667,1.9743589743589745,0.6813936059311013,0.9808523995535714,2.631847219867958,1.7135511369540777,9.0,0.0
221.0,122.0,226.16647338867188,19320.5,597.9726499319077,0.5520361990950227,0.6789934488574676,2.0449418452066017,1.8114754098360653,0.6789934488574676,1.0233777076410493,2.643949127262019,1.7433604954283022,9.0,0.0
203.0,151.0,223.91232299804688,19359.0,603.5289984941483,0.7438423645320197,0.667877018624109,2.0284813303082823,1.3443708609271523,0.667877018624109,1.103016369448507,2.6953808991540527,1.704884176537142,9.0,0.0
184.0,178.0,222.6409454345703,19407.5,603.0853489637375,0.967391304347826,0.6705356963230767,2.023082986809046,1.0337078651685394,0.6705356963230767,1.2100051382313604,2.7087800394782824,1.6659816269716503,9.0,0.0
202.0,162.0,227.324951171875,19419.0,601.4701247215271,1.2469135802469136,0.6745413920141184,2.024537631544915,1.2469135802469136,0.6745413920141184,1.1253710454053218,2.645860569290389,1.652390452531668,9.0,0.0
221.0,141.0,228.6361083984375,19414.0,598.2985510826111,1.5673758865248226,0.6815362920329942,2.032203336167236,1.5673758865248226,0.6815362920329942,1.0345525266897624,2.616815669552832,1.652758428405003,9.0,0.0
234.0,132.0,225.6521911621093,19411.5,602.05590903759,1.7727272727272727,0.6729693946296103,2.0490666037710445,1.7727272727272727,0.6729693946296103,0.9643256032568776,2.668070298528902,1.644961500102705,9.0,0.0
239.0,123.0,225.74185180664065,19422.0,606.1564170122147,1.943089430894309,0.6642543383474298,2.048473727923533,1.943089430894309,0.6642543383474298,0.9445265765968228,2.685175177580356,1.6744652403652338,9.0,0.0
239.0,117.0,226.656494140625,19391.0,602.700572013855,2.0427350427350426,0.6708213295901599,2.050122048362565,2.0427350427350426,0.6708213295901599,0.9483535319691424,2.6590924486810428,1.692979134870379,9.0,0.0
231.0,85.0,221.65628051757807,12567.5,544.7178163528442,0.3679653679653679,0.532249911068675,3.090079799229894,2.717647058823529,0.532249911068675,0.9595509979115936,2.4574887527702884,1.723790558078621,1.0,0.0
222.0,100.0,221.18426513671875,12648.0,538.0731585025787,0.4504504504504504,0.5489705726338606,3.0443824075532464,2.22,0.5489705726338606,0.9963255186338682,2.432691847089503,1.6710346537347165,8.0,0.0
207.0,126.0,221.8708038330078,12710.0,542.4995610713959,0.6086956521739131,0.5426960146466921,3.015160417361564,1.6428571428571428,0.5426960146466921,1.071839632043516,2.4451146870126768,1.6291278110252128,1.0,0.0
186.0,155.0,218.9232788085937,12778.0,543.2691155672073,0.8333333333333334,0.544054886046302,2.9919438357340544,1.2,0.544054886046302,1.1770068753150202,2.481550242275476,1.593164561780667,8.0,0.0
181.0,160.0,218.77700805664065,12778.5,546.1980460882187,1.13125,0.5382567154409613,2.990760038279908,1.13125,0.5382567154409613,1.2087127516941472,2.496597110180837,1.601753800845216,1.0,0.0
202.0,129.0,219.31593322753903,12703.5,540.2569227218628,1.565891472868217,0.5469310441133668,3.004458986241424,1.565891472868217,0.5469310441133668,1.0857224417204905,2.463372882996828,1.632196141153664,9.0,0.0
